0.052,0.023,0.037,0.027,0.048,0.026
9.128,6.646,8.120,6.934,8.755,6.826
9.274,5.662,7.489,6.266,9.005,6.233
6.560,5.221,6.168,5.302,6.406,5.238
112.448,57.075,119.320,99.973,142.271,141.365
67.370,77.980,70.793,76.883,68.467,77.730
0.033,0.012,0.024,0.021,0.032,0.018
6.450,4.709,6.122,5.455,6.761,5.236
8.090,4.286,6.421,6.179,7.675,5.491
4.298,3.643,4.533,3.922,4.893,3.987
125.098,71.145,124.349,142.471,139.090,134.612
82.807,89.693,81.943,85.950,78.807,86.987
0.019,0.008,0.030,0.015,0.023,0.017
4.684,3.630,5.896,4.490,5.501,4.675
6.427,3.691,7.884,5.292,6.629,5.902
3.134,2.772,4.003,3.224,3.857,3.200
122.917,85.991,162.001,166.393,163.465,154.729
91.067,95.237,84.713,90.930,85.590,90.567
0.014,0.011,0.026,0.017,0.017,0.009
3.859,3.474,5.149,4.180,4.790,3.593
5.669,4.739,7.568,6.184,5.641,4.265
2.483,2.410,3.202,2.656,3.268,2.524
104.170,89.461,108.631,138.177,144.267,125.263
93.937,95.673,88.797,92.243,88.717,94.503
