0.019,0.021,0.043,0.085
5.943,6.087,7.970,10.765
5.251,5.579,8.824,12.794
4.532,4.610,5.573,6.986
47.706,83.247,130.335,189.307
81.943,81.327,73.373,63.787
0.007,0.007,0.014,0.028
3.434,3.481,4.416,6.109
3.149,3.225,5.047,7.339
2.559,2.587,3.104,4.041
37.295,51.732,121.178,160.101
95.067,94.857,90.793,82.830
0.007,0.007,0.013,0.030
3.012,3.064,3.955,5.719
3.436,3.498,5.265,8.192
2.178,2.219,2.607,3.449
75.488,75.515,109.776,137.943
97.150,96.960,92.987,85.957
0.011,0.011,0.017,0.029
3.460,3.494,4.110,5.366
4.783,4.843,6.251,8.141
2.377,2.382,2.642,3.222
89.552,89.230,97.152,121.391
95.680,95.567,93.387,88.123
