0.019,0.023,0.048,0.091
6.006,6.237,8.179,11.039
5.280,5.925,9.423,13.225
4.603,4.696,5.710,7.191
57.758,88.825,163.659,188.562
81.253,80.663,73.010,62.860
0.007,0.007,0.014,0.028
3.502,3.553,4.462,6.176
3.206,3.263,5.028,7.307
2.617,2.665,3.169,4.137
41.258,56.243,166.684,160.688
94.860,94.680,90.713,82.187
0.010,0.012,0.026,0.049
3.239,3.367,4.542,6.304
4.645,5.151,8.077,11.014
2.261,2.287,2.636,3.333
103.460,107.898,145.692,171.169
96.373,96.143,91.883,85.367
0.004,0.004,0.009,0.020
2.347,2.415,3.266,4.781
2.421,2.756,4.413,6.497
1.758,1.798,2.206,2.954
68.628,83.337,89.453,88.976
99.017,98.887,95.793,89.343
