0.028,0.166,0.432,0.246,0.525,0.202
7.302,14.864,23.785,17.483,24.907,15.922
6.295,17.895,28.587,22.123,31.614,20.033
5.740,9.101,15.514,10.353,16.018,9.446
93.156,265.638,361.793,308.023,371.111,297.265
74.523,53.557,35.320,48.923,34.323,52.057
0.124,0.019,0.047,0.030,0.062,0.029
12.200,5.987,8.981,7.221,10.033,7.157
16.099,5.267,8.574,6.719,10.190,6.635
6.887,4.617,6.707,5.488,7.316,5.396
129.476,48.694,108.838,98.671,134.678,121.152
64.847,81.910,66.900,76.010,62.973,76.050
0.125,0.043,0.031,0.047,0.054,0.048
13.206,8.350,7.362,8.519,9.007,8.508
15.367,8.491,6.827,9.004,9.808,9.234
8.197,5.989,5.492,5.951,6.526,6.057
153.434,90.598,119.248,181.530,165.213,180.555
57.347,70.923,74.960,70.670,68.080,70.247
0.141,0.025,0.049,0.024,0.069,0.027
12.671,6.685,9.026,6.596,9.997,6.748
17.337,6.068,8.835,6.029,11.184,6.528
6.924,5.174,6.574,4.969,6.880,5.049
153.701,87.005,142.339,126.643,156.780,151.598
64.383,78.413,67.897,78.517,64.843,78.340
0.121,0.038,0.041,0.037,0.040,0.035
12.953,8.005,8.343,7.854,8.314,7.686
15.111,7.884,7.988,7.790,7.793,7.534
7.674,5.845,6.254,5.722,6.193,5.646
102.616,89.339,112.672,88.419,105.114,106.198
59.500,72.010,69.920,73.130,70.013,73.933
