0.019,0.023,0.072,0.127
5.981,6.313,8.972,12.033
5.093,5.995,12.438,16.471
4.715,4.834,5.546,6.755
86.709,157.138,165.442,168.478
82.957,81.677,73.617,64.727
0.029,0.031,0.078,0.157
0.008,0.015,0.044,0.083
3.730,4.169,6.318,8.890
3.477,5.500,10.140,13.909
2.789,2.887,3.541,4.382
52.107,166.038,167.297,172.553
93.977,92.503,84.420,76.210
0.013,0.016,0.046,0.107
0.004,0.004,0.020,0.052
2.301,2.443,3.941,6.250
2.643,2.907,7.042,11.486
1.644,1.700,2.248,3.171
86.668,93.532,172.794,176.823
98.667,98.110,92.873,85.467
0.005,0.006,0.021,0.050
0.002,0.003,0.009,0.020
1.743,1.798,2.514,3.726
2.069,2.318,4.615,7.234
1.251,1.277,1.573,2.115
124.897,125.560,175.883,177.571
99.757,99.607,97.590,93.953
0.002,0.002,0.006,0.016
